Time (s),X (m),Y (m),Z (m),q1 (norm),q2 (i),q3 (j),q4 (k)
1735693598.0, 3697131.7590355156, 2939690.653498708, 4576953.056382857, 0.6424440134278361, 0.42774607442953727,0.0008980829159942117,0.6358444612229718
1735693599.0, 3698545.4660267793, 2933661.998424694, 4580979.300551827, 0.642413227614104, 0.4273313932343288,0.0004914364160202901,0.6361547640575254
1735693600.0, 3699953.1338097327, 2927629.0450017233, 4584999.12965813, 0.6423821315216693, 0.42691656328863165,8.485260877683735e-05,0.6364647970559999
1735693601.0, 3701354.761930886, 2921591.8042176347, 4589012.540720126, 0.6423507252832843, 0.42650158472764926,-0.00032166845263712553,0.6367745601720038
1735693602.0, 3702750.349943418, 2915550.287055419, 4593019.530763613, 0.642319009058556, 0.42608645766713626,-0.0007281267450643768,0.637084053344729
1735693603.0, 3704139.897407573, 2909504.504492681, 4597020.096821824, 0.6422869829664921, 0.42567118224309075,-0.0011345222089591514,0.6373932765404166
1735693604.0, 3705523.4038899024, 2903454.467502597, 4601014.235935395, 0.6422546471459606, 0.4252557585819229,-0.0015408548020178045,0.6377022297113364
1735693605.0, 3706900.868963675, 2897400.1870534006, 4605001.945152361, 0.6422220017307539, 0.4248401868092518,-0.0019471244806174087,0.63801091281504
1735693606.0, 3708272.292208696, 2891341.6741085844, 4608983.2215281315, 0.6421890468651412, 0.4244244670565678,-0.002353331199103587,0.6383193257942745
1735693607.0, 3709637.673211625, 2885278.939626494, 4612958.062125484, 0.6421557826722047, 0.4240085994490333,-0.0027594749098939645,0.6386274686169857
1735693608.0, 3710997.0115653975, 2879211.9945610743, 4616926.464014544, 0.6421222093081158, 0.4235925841103593,-0.003165555579421281,0.6389353412183788
1735693609.0, 3712350.306869943, 2873140.849860911, 4620888.42427276, 0.6420883268710038, 0.4231764211782439,-0.0035715731376329105,0.6392429435825562
1735693610.0, 3713697.558731122, 2867065.5164706237, 4624843.939984903, 0.6420541355482751, 0.42276011076495,-0.003977527574093145,0.6395502756201125
1735693611.0, 3715038.7667622543, 2860986.0053288555, 4628793.00824304, 0.6420196354286802, 0.42234365301380256,-0.004383418809272426,0.6398573373202215
1735693612.0, 3716373.930582411, 2854902.327370501, 4632735.62614653, 0.6419848266692095, 0.42192704804135783,-0.004789246816445947,0.6401641286205765
1735693613.0, 3717703.049817615, 2848814.493525121, 4636671.790801985, 0.6419497094035843, 0.42151029597570955,-0.005195011548271153,0.640470649474382
1735693614.0, 3719026.124100345, 2842722.514717589, 4640601.499323283, 0.6419142837627333, 0.4210933969494238,-0.0056007129517007355,0.6407768998344157
1735693615.0, 3720343.153069608, 2836626.4018679843, 4644524.748831538, 0.6418785498800044, 0.42067635108189383,-0.006006350987708874,0.6410828796592359
1735693616.0, 3721654.1363708526, 2830526.165891714, 4648441.536455072, 0.6418425079014312, 0.42025915850498774,-0.006411925609353187,0.6413885888862235
1735693617.0, 3722959.0736562745, 2824421.817699078, 4652351.85932943, 0.6418061579480883, 0.41984181934195774,-0.0068174367688145195,0.6416940274830768
1735693618.0, 3724257.9645842453, 2818313.3681960357, 4656255.714597339, 0.6417695001654329, 0.4194243337229033,-0.0072228844203944195,0.6419991953882487
1735693619.0, 3725550.808819948, 2812200.828283344, 4660153.099408702, 0.6417325346825681, 0.4190067017705842,-0.00762826851950232,0.6423040925610062
1735693620.0, 3726837.6060348, 2806084.208857318, 4664044.010920581, 0.6416952616358031, 0.4185889236137893,-0.008033589018025753,0.6426087189491727
1735693621.0, 3728118.355906771, 2799963.520809412, 4667928.446297186, 0.6416576811558062, 0.418170999377516,-0.00843884586941424,0.6429130745083316
1735693622.0, 3729393.0581202847, 2793838.775026319, 4671806.40270985, 0.6416197933842195, 0.4177529291898852,-0.00884403902792192,0.643217159180735
1735693623.0, 3730661.712366297, 2787709.982389891, 4675677.877337025, 0.6415815984407067, 0.41733471317353943,-0.009249168444997978,0.6435209729338301
1735693624.0, 3731924.318341883, 2781577.1537776543, 4679542.867364258, 0.6415430964814112, 0.41691635145605993,-0.009654234080476278,0.6438245156950217
1735693625.0, 3733180.8757510236, 2775440.3000617637, 4683401.36998418, 0.6415042876225975, 0.41649784416454266,-0.010059235879820133,0.644127787431676
1735693626.0, 3734431.3843038003, 2769299.4321100703, 4687253.382396496, 0.6414651720024953, 0.41607919142596467,-0.01046417379656459,0.6444307880888993
1735693627.0, 3735675.84371671, 2763154.560785701, 4691098.901807952, 0.641425749763144, 0.41566039336036753,-0.010869047792425321,0.6447335176120279
1735693628.0, 3736914.2537128767, 2757005.696946743, 4694937.925432339, 0.6413860210282722, 0.4152414500985703,-0.011273857811481896,0.6450359759576234
1735693629.0, 3738146.614021508, 2750852.851446998, 4698770.450490477, 0.6413459859431668, 0.4148223617624054,-0.011678603814528373,0.6453381630659933
1735693630.0, 3739372.924378581, 2744696.0351350247, 4702596.474210183, 0.6413056446155788, 0.4144031284844341,-0.012083285737826185,0.645640078907969
1735693631.0, 3740593.184525816, 2738535.258855533, 4706415.993826272, 0.6412649972217046, 0.41398375037901464,-0.012487903560562641,0.6459417233969601
1735693632.0, 3741807.3942121575, 2732370.5334473667, 4710229.006580538, 0.6412240438564266, 0.4135642275796418,-0.012892457213146491,0.6462430965154466
1735693633.0, 3743015.5531921233, 2726201.869745745, 4714035.509721735, 0.6411827846661355, 0.41314456021031065,-0.013296946653995941,0.6465441982000069
1735693634.0, 3744217.6612268807, 2720029.2785807718, 4717835.500505569, 0.6411412197967851, 0.4127247483921475,-0.013701371844079907,0.6468450283891183
1735693635.0, 3745413.7180841644, 2713852.7707775556, 4721628.976194678, 0.6410993493591755, 0.41230479225624567,-0.014105732721615643,0.6471455870499021
1735693636.0, 3746603.72353757, 2707672.3571571703, 4725415.934058618, 0.6410571734991874, 0.41188469192456695,-0.014510029246401783,0.6474458741197645
1735693637.0, 3747787.677367238, 2701488.0485357028, 4729196.371373848, 0.6410146923568256, 0.4114644475179508,-0.014914261377090557,0.6477458895423478
1735693638.0, 3748965.579359767, 2695299.855724366, 4732970.285423722, 0.6409719060455311, 0.41104405916917836,-0.015318429050790236,0.6480456332801725
1735693639.0, 3750137.4293077462, 2689107.7895301427, 4736737.673498463, 0.6409288147220199, 0.41062352699606525,-0.015722532234835145,0.6483451052614364
1735693640.0, 3751303.2270103553, 2682911.8607549407, 4740498.532895157, 0.6408854185009033, 0.41020285112611377,-0.01612657087175576,0.6486443054501039
1735693641.0, 3752462.972272823, 2676712.080196339, 4744252.860917734, 0.640841717521315, 0.4097820316841135,-0.016530544915369885,0.6489432337870333
1735693642.0, 3753616.6649067197, 2670508.458647178, 4748000.654876956, 0.640797711917006, 0.40936106879608886,-0.016934454316208564,0.6492418902174026
1735693643.0, 3754764.304729879, 2664301.0068956628, 4751741.912090404, 0.6407534018188933, 0.4089399625816273,-0.01733829903007075,0.6495402746927992
1735693644.0, 3755905.891566381, 2658089.735725373, 4755476.629882458, 0.6407087873564764, 0.408518713169739,-0.017742079002736146,0.649838387160219
1735693645.0, 3757041.425246471, 2651874.655915374, 4759204.805584288, 0.6406638686744307, 0.40809732068053356,-0.01814579419402986,0.6501362275566173
1735693646.0, 3758170.9056069274, 2645655.7782396893, 4762926.436533839, 0.6406186458897386, 0.40767578524154124,-0.0185494445465548,0.650433795841748
1735693647.0, 3759294.3324902984, 2639433.113468377, 4766641.52007581, 0.6405731191380565, 0.4072541069773027,-0.018953030012268023,0.6507310919582796
1735693648.0, 3760411.705745572, 2633206.6723665693, 4770350.053561649, 0.6405272885633813, 0.4068322860085319,-0.019356550549708956,0.6510281158425737
1735693649.0, 3761523.025228091, 2626976.4656945923, 4774052.0343495365, 0.6404811542836748, 0.4064103224607142,-0.019760006103468494,0.6513248674537314
1735693650.0, 3762628.2907990934, 2620742.504208604, 4777747.459804363, 0.6404347164479121, 0.4059882164558397,-0.02016339663222737,0.651621346721806
1735693651.0, 3763727.502326375, 2614504.7986596455, 4781436.327297729, 0.6403879751580047, 0.40556596812535856,-0.020566722068856656,0.6519175536177207
1735693652.0, 3764820.6596833155, 2608263.3597950377, 4785118.634207917, 0.6403409305885758, 0.40514357758127995,-0.020969982390489292,0.6522134880513748
1735693653.0, 3765907.7627502815, 2602018.1983563504, 4788794.377919889, 0.6402935828322356, 0.4047210449575946,-0.021373177524046747,0.6525091500008389
1735693654.0, 3766988.811413051, 2595769.325081655, 4792463.555825263, 0.640245932043025, 0.4042983703678519,-0.021776307437717104,0.6528045393949368
1735693655.0, 3768063.8055639323, 2589516.7507039313, 4796126.165322307, 0.6401979783387176, 0.40387555394774827,-0.02217937206513459,0.6530996561851911
1735693656.0, 3769132.7451012214, 2583260.485951818, 4799782.203815918, 0.6401497218750413, 0.40345259580781984,-0.022582371377736103,0.6533945002999316
1735693657.0, 3770195.629929646, 2577000.541548978, 4803431.668717615, 0.6401011627479926, 0.40302949608212085,-0.02298530530312093,0.6536890717126774
